# fields
key,value
document_type,large-knowledge-graph
version,1.0.0
generated,true
benchmark_size_class,large
benchmark_profile,graph-relational

# table:nodes
id,kind,label,community,weight
NODE-00001,service,Knowledge graph node 1,community-1,0.1
NODE-00002,document,Knowledge graph node 2,community-2,0.2
NODE-00003,person,Knowledge graph node 3,community-3,0.3
NODE-00004,dataset,Knowledge graph node 4,community-4,0.4
NODE-00005,concept,Knowledge graph node 5,community-5,0.5
NODE-00006,service,Knowledge graph node 6,community-6,0.6
NODE-00007,document,Knowledge graph node 7,community-7,0.7
NODE-00008,person,Knowledge graph node 8,community-8,0.8
NODE-00009,dataset,Knowledge graph node 9,community-9,0.9
NODE-00010,concept,Knowledge graph node 10,community-10,1.0
NODE-00011,service,Knowledge graph node 11,community-11,1.1
NODE-00012,document,Knowledge graph node 12,community-12,1.2
NODE-00013,person,Knowledge graph node 13,community-13,1.3
NODE-00014,dataset,Knowledge graph node 14,community-14,1.4
NODE-00015,concept,Knowledge graph node 15,community-15,1.5
NODE-00016,service,Knowledge graph node 16,community-16,1.6
NODE-00017,document,Knowledge graph node 17,community-17,1.7
NODE-00018,person,Knowledge graph node 18,community-18,1.8
NODE-00019,dataset,Knowledge graph node 19,community-19,1.9
NODE-00020,concept,Knowledge graph node 20,community-20,2.0
NODE-00021,service,Knowledge graph node 21,community-21,2.1
NODE-00022,document,Knowledge graph node 22,community-22,2.2
NODE-00023,person,Knowledge graph node 23,community-23,2.3
NODE-00024,dataset,Knowledge graph node 24,community-0,2.4
NODE-00025,concept,Knowledge graph node 25,community-1,2.5
NODE-00026,service,Knowledge graph node 26,community-2,2.6
NODE-00027,document,Knowledge graph node 27,community-3,2.7
NODE-00028,person,Knowledge graph node 28,community-4,2.8
NODE-00029,dataset,Knowledge graph node 29,community-5,2.9
NODE-00030,concept,Knowledge graph node 30,community-6,3.0
NODE-00031,service,Knowledge graph node 31,community-7,3.1
NODE-00032,document,Knowledge graph node 32,community-8,3.2
NODE-00033,person,Knowledge graph node 33,community-9,3.3
NODE-00034,dataset,Knowledge graph node 34,community-10,3.4
NODE-00035,concept,Knowledge graph node 35,community-11,3.5
NODE-00036,service,Knowledge graph node 36,community-12,3.6
NODE-00037,document,Knowledge graph node 37,community-13,3.7
