# fields
key,value
document_type,medium-observability-run-v2
version,1.0.0
generated,false
benchmark_size_class,medium-v2
benchmark_profile,observability-v2
run_id,OBS-2026-05-21

# table:services
id,name,runtime,owner
SVC-001,service-1,rust,team-2
SVC-002,service-2,node,team-3
SVC-003,service-3,go,team-4
SVC-004,service-4,python,team-5
SVC-005,service-5,rust,team-6
SVC-006,service-6,node,team-1
SVC-007,service-7,go,team-2
SVC-008,service-8,python,team-3
SVC-009,service-9,rust,team-4
SVC-010,service-10,node,team-5
SVC-011,service-11,go,team-6
SVC-012,service-12,python,team-1
SVC-013,service-13,rust,team-2
SVC-014,service-14,node,team-3
SVC-015,service-15,go,team-4
SVC-016,service-16,python,team-5
SVC-017,service-17,rust,team-6
SVC-018,service-18,node,team-1
SVC-019,service-19,go,team-2
SVC-020,service-20,python,team-3
SVC-021,service-21,rust,team-4

# table:spans
id,service_id,operation,duration_ms,status
SPAN-001-001,SVC-001,operation_1,4,error
SPAN-001-002,SVC-001,operation_2,5,timeout
SPAN-001-003,SVC-001,operation_3,6,ok
SPAN-001-004,SVC-001,operation_4,7,error
SPAN-001-005,SVC-001,operation_5,8,timeout
SPAN-001-006,SVC-001,operation_6,9,ok
SPAN-001-007,SVC-001,operation_7,10,error
SPAN-001-008,SVC-001,operation_8,11,timeout
SPAN-001-009,SVC-001,operation_0,12,ok
SPAN-001-010,SVC-001,operation_1,13,error
SPAN-001-011,SVC-001,operation_2,14,timeout
SPAN-001-012,SVC-001,operation_3,15,ok
SPAN-001-013,SVC-001,operation_4,16,error
SPAN-001-014,SVC-001,operation_5,17,timeout
SPAN-001-015,SVC-001,operation_6,18,ok
SPAN-001-016,SVC-001,operation_7,19,error
SPAN-001-017,SVC-001,operation_8,20,timeout
SPAN-001-018,SVC-001,operation_0,21,ok
SPAN-001-019,SVC-001,operation_1,22,error
SPAN-001-020,SVC-001,operation_2,23,timeout
SPAN-001-021,SVC-001,operation_3,24,ok
SPAN-001-022,SVC-001,operation_4,25,error
SPAN-001-023,SVC-001,operation_5,26,timeout
SPAN-002-001,SVC-002,operation_1,5,error
SPAN-002-002,SVC-002,operation_2,7,timeout
SPAN-002-003,SVC-002,operation_3,9,ok
SPAN-002-004,SVC-002,operation_4,11,error
SPAN-002-005,SVC-002,operation_5,13,timeout
SPAN-002-006,SVC-002,operation_6,15,ok
SPAN-002-007,SVC-002,operation_7,17,error
SPAN-002-008,SVC-002,operation_8,19,timeout
SPAN-002-009,SVC-002,operation_0,21,ok
SPAN-002-010,SVC-002,operation_1,23,error
SPAN-002-011,SVC-002,operation_2,25,timeout
SPAN-002-012,SVC-002,operation_3,27,ok
SPAN-002-013,SVC-002,operation_4,29,error
SPAN-002-014,SVC-002,operation_5,31,timeout
SPAN-002-015,SVC-002,operation_6,33,ok
SPAN-002-016,SVC-002,operation_7,35,error
SPAN-002-017,SVC-002,operation_8,37,timeout
SPAN-002-018,SVC-002,operation_0,39,ok
SPAN-002-019,SVC-002,operation_1,41,error
SPAN-002-020,SVC-002,operation_2,43,timeout
SPAN-002-021,SVC-002,operation_3,45,ok
