# fields
key,value
document_type,medium-product-catalog
version,1.0.0
generated,true
benchmark_size_class,medium
benchmark_profile,catalog-commerce

# table:products
id,name,category,status
PROD-00001,Benchmark Product 1,software,draft
PROD-00002,Benchmark Product 2,service,archived
PROD-00003,Benchmark Product 3,bundle,active
PROD-00004,Benchmark Product 4,hardware,draft
PROD-00005,Benchmark Product 5,software,archived
PROD-00006,Benchmark Product 6,service,active
PROD-00007,Benchmark Product 7,bundle,draft
PROD-00008,Benchmark Product 8,hardware,archived
PROD-00009,Benchmark Product 9,software,active
PROD-00010,Benchmark Product 10,service,draft
PROD-00011,Benchmark Product 11,bundle,archived
PROD-00012,Benchmark Product 12,hardware,active
PROD-00013,Benchmark Product 13,software,draft
PROD-00014,Benchmark Product 14,service,archived
PROD-00015,Benchmark Product 15,bundle,active
PROD-00016,Benchmark Product 16,hardware,draft
PROD-00017,Benchmark Product 17,software,archived
PROD-00018,Benchmark Product 18,service,active
PROD-00019,Benchmark Product 19,bundle,draft
PROD-00020,Benchmark Product 20,hardware,archived
PROD-00021,Benchmark Product 21,software,active
PROD-00022,Benchmark Product 22,service,draft
PROD-00023,Benchmark Product 23,bundle,archived
PROD-00024,Benchmark Product 24,hardware,active
PROD-00025,Benchmark Product 25,software,draft
PROD-00026,Benchmark Product 26,service,archived
PROD-00027,Benchmark Product 27,bundle,active
PROD-00028,Benchmark Product 28,hardware,draft
PROD-00029,Benchmark Product 29,software,archived
PROD-00030,Benchmark Product 30,service,active
PROD-00031,Benchmark Product 31,bundle,draft
PROD-00032,Benchmark Product 32,hardware,archived
PROD-00033,Benchmark Product 33,software,active
PROD-00034,Benchmark Product 34,service,draft
PROD-00035,Benchmark Product 35,bundle,archived
PROD-00036,Benchmark Product 36,hardware,active
PROD-00037,Benchmark Product 37,software,draft
PROD-00038,Benchmark Product 38,service,archived
PROD-00039,Benchmark Product 39,bundle,active
PROD-00040,Benchmark Product 40,hardware,draft
PROD-00041,Benchmark Product 41,software,archived
PROD-00042,Benchmark Product 42,service,active
PROD-00043,Benchmark Product 43,bundle,draft
PROD-00044,Benchmark Product 44,hardware,archived
PROD-00045,Benchmark Product 45,software,active
PROD-00046,Benchmark Product 46,service,draft
PROD-00047,Benchmark Product 47,bundle,archived
PROD-00048,Benchmark Product 48,hardware,active
PROD-00049,Benchmark Product 49,software,draft
