# fields
key,value
kind,Plan-v2
id,release.v2.validation_plan-v2
schema,example.plan.v1
authority,Canonical-v2
lifecycle,Active
created_at,2026-05-20T18:00:00Z-v2
status,open
priority,P0
owner,team.platform
title,Release v2 validation plan
intent,"Define the minimum validation requirements for release v2.
The plan must remain auditable, reproducible, and easy to review.-v2"
scope,"{""in"":[""schema validation"",""ui redesign""],""out"":[""canonicalization feature expansion"",""semantic relations remote includes"",""validation reports release automation""]}"
rules,"[""(deny missing(evidence))"",""(deny dangling(rel))"",""(deny invalid(lifecycle))"",""(warn eq(authority,Unknown))""]"

# table:milestones
id,status,gate,evidence
R1,done,validate-syntax,reports/syntax.md
R2,done,validate-canonical,reports/canonical.md
R3,pending,validate-schema,reports/schema.md
R4,pending,validate-semantics,reports/semantics.md

# table:rel
subject,predicate,object
R3,depends_on,R2
R4,depends_on,R3
release.v2.validation_plan,validated_by,validation.report.v2
