# fields
key,value
document_type,small-api-catalog
version,1.0.0
generated,true
benchmark_size_class,small
benchmark_profile,api-endpoints
api_name,compact-service-api
base_url,https://api.example.test

# table:endpoints
id,method,path,tag,auth
END-001,POST,/v1/resources/1,billing,user
END-002,PATCH,/v1/resources/2,search,admin
END-003,DELETE,/v1/resources/3,admin,none
END-004,GET,/v1/resources/4,accounts,user
END-005,POST,/v1/resources/5,billing,admin
END-006,PATCH,/v1/resources/6,search,none
END-007,DELETE,/v1/resources/7,admin,user
END-008,GET,/v1/resources/8,accounts,admin
END-009,POST,/v1/resources/9,billing,none
END-010,PATCH,/v1/resources/10,search,user
END-011,DELETE,/v1/resources/11,admin,admin
END-012,GET,/v1/resources/12,accounts,none
END-013,POST,/v1/resources/13,billing,user
END-014,PATCH,/v1/resources/14,search,admin
END-015,DELETE,/v1/resources/15,admin,none
END-016,GET,/v1/resources/16,accounts,user
END-017,POST,/v1/resources/17,billing,admin
END-018,PATCH,/v1/resources/18,search,none
END-019,DELETE,/v1/resources/19,admin,user
END-020,GET,/v1/resources/20,accounts,admin
END-021,POST,/v1/resources/21,billing,none
END-022,PATCH,/v1/resources/22,search,user
END-023,DELETE,/v1/resources/23,admin,admin
END-024,GET,/v1/resources/24,accounts,none
END-025,POST,/v1/resources/25,billing,user
END-026,PATCH,/v1/resources/26,search,admin
END-027,DELETE,/v1/resources/27,admin,none
END-028,GET,/v1/resources/28,accounts,user
END-029,POST,/v1/resources/29,billing,admin
END-030,PATCH,/v1/resources/30,search,none
END-031,DELETE,/v1/resources/31,admin,user
END-032,GET,/v1/resources/32,accounts,admin
END-033,POST,/v1/resources/33,billing,none
